type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée jeunesse,639,Max est maladroit,"Saint-Mars,  Dominique de",39,4301,68
Bande dessinée jeunesse,634,Le clan du requin,"Gazzotti,  Bruno",51,4889,65
Bande dessinée jeunesse,627,Naruto. 25,"Kishimoto,  Masashi",45,4002,53
Bande dessinée jeunesse,577,Le loto des nombrils,"Guibert,  Emmanuel",35,2525,46
Livre jeunesse,1240,Les parents de Max et Lili sont accros au portable,"Saint-Mars,  Dominique de",47,3479,114
Livre adulte,612,Sans passer par la case départ,"Läckberg,  Camilla",47,796,48
Bande dessinée jeunesse,1200,Max et Lili cherchent leur métier,"Saint-Mars,  Dominique de",46,5181,93
Bande dessinée jeunesse,596,The promised Neverland. 13,"Shirai,  Kaiu",52,1428,54
Bande dessinée jeunesse,913,En route vers de nouvelles aventures,"Neel,  Julien",53,2927,74
Bande dessinée jeunesse,693,Chaos,"Ogaki,  Philippe",49,1713,58
Bande dessinée jeunesse,581,Destruction massive,"Horikoshi,  K?hei",48,1099,51
Bande dessinée jeunesse,722,The promised neverland. 1,"Shirai,  Kaiu",53,2488,66
Bande dessinée jeunesse,591,Naruto. 71,"Kishimoto,  Masashi",45,2580,60
Bande dessinée jeunesse,559,On ne schtroumpfe pas le progrès,"Delzenne,  Philippe",29,2627,38
Bande dessinée jeunesse,790,Lili regarde trop la télé,"Saint-Mars,  Dominique de",34,3626,72
Bande dessinée jeunesse,921,Max et Lili font du camping,"Saint-Mars,  Dominique de",52,5658,83
Bande dessinée jeunesse,621,A l'attaque !,"Cohen,  Jacqueline",33,4353,49
Bande dessinée jeunesse,1222,Trop la classe !,"Didier,  Anne",49,4101,75
Bande dessinée jeunesse,1171,Max se trouve trop petit,"Saint-Mars,  Dominique de",47,5796,105
Bande dessinée jeunesse,941,A la mode de chez nous,Cazenove,47,3922,73
Bande dessinée jeunesse,765,Tintin et les Picaros,Hergé,57,4977,83
Bande dessinée jeunesse,658,La salsa des saucisses,"Cohen,  Jacqueline",32,4511,53
Bande dessinée jeunesse,615,Titeuf et le derrière des choses,Zep,41,3951,58
Bande dessinée jeunesse,561,One Piece : édition originale. 86. Opération régicide,"Oda,  Eiichir?",46,1898,54
Bande dessinée jeunesse,756,Lili fait des cauchemars,"Saint-Mars,  Dominique de",42,4566,68
Bande dessinée adulte,602,La zizanie,"Goscinny,  René",41,3568,56
Bande dessinée jeunesse,883,A consommer sans modération,Nob,49,3201,63
Bande dessinée jeunesse,881,Lou !. 7. La cabane,"Neel,  Julien",49,3301,73
Bande dessinée jeunesse,598,Naruto. 43,"Kishimoto,  Masashi",41,3169,59
Bande dessinée jeunesse,575,Tintin au Congo,Hergé,47,4145,66
Bande dessinée jeunesse,752,Lili a peur de la mort,"Saint-Mars,  Dominique de",44,4245,73
Bande dessinée jeunesse,942,Max se fait insulter à la récré,"Saint-Mars,  Dominique de",42,3758,77
Bande dessinée jeunesse,701,Mes meilleurs copains,Zep,40,3477,63
Bande dessinée jeunesse,663,Si seulement...,"Dequier,  Bruno",47,2766,58
Bande dessinée jeunesse,959,Astérix et le chaudron,"Goscinny,  René",55,5099,83
